epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,4669.39,2.40251,2.73499,2.75662,0.36748,0.28125,0.21858,0.07264,4.76297,5.83927,4.70395,0.0015116,0.0015116,0.0015116
76,4730.86,2.42247,2.70101,2.74,0.44591,0.22917,0.17192,0.0587,4.75111,6.61396,4.83255,0.001505,0.001505,0.001505
77,4793.21,2.41763,2.62287,2.74294,0.4122,0.21185,0.14212,0.05294,4.70019,6.46564,4.79656,0.0014984,0.0014984,0.0014984
78,4854.86,2.35999,2.60608,2.68318,0.41093,0.24479,0.16817,0.06283,4.55448,6.19015,4.72185,0.0014918,0.0014918,0.0014918
79,4916.56,2.26967,2.36674,2.64181,0.38066,0.22396,0.18655,0.07519,4.48184,6.50804,4.70855,0.0014852,0.0014852,0.0014852
80,4978.06,2.21373,2.4559,2.56062,0.50288,0.22396,0.20429,0.08611,4.39893,6.26265,4.6068,0.0014786,0.0014786,0.0014786
81,5039.57,2.30429,2.49886,2.64357,0.48091,0.19792,0.19082,0.08258,4.41119,6.33872,4.58093,0.001472,0.001472,0.001472
82,5101.65,2.25837,2.404,2.5802,0.4083,0.20312,0.14897,0.06161,4.2684,6.84997,4.59788,0.0014654,0.0014654,0.0014654
83,5163.36,2.26117,2.39816,2.61289,0.3909,0.22396,0.15499,0.06193,4.32524,6.79654,4.61971,0.0014588,0.0014588,0.0014588
84,5225.02,2.24483,2.45465,2.61041,0.34319,0.20312,0.12495,0.05625,4.24999,7.02568,4.56936,0.0014522,0.0014522,0.0014522
85,5287.26,2.30251,2.60804,2.65212,0.46984,0.17708,0.14413,0.06483,4.27571,6.82013,4.55425,0.0014456,0.0014456,0.0014456
86,5348.49,2.21261,2.32359,2.59538,0.43604,0.20312,0.19413,0.08303,4.25515,5.99928,4.49679,0.001439,0.001439,0.001439
87,5409.94,2.13509,2.28398,2.58216,0.41627,0.23438,0.21978,0.08677,4.29804,5.70782,4.55325,0.0014324,0.0014324,0.0014324
88,5471.39,2.26088,2.32707,2.65598,0.41928,0.24479,0.22408,0.09456,4.3171,5.80875,4.54359,0.0014258,0.0014258,0.0014258
89,5532.72,2.2304,2.41127,2.61081,0.3723,0.29167,0.23422,0.09842,4.53012,5.806,4.62283,0.0014192,0.0014192,0.0014192
90,5594.14,2.1961,2.27041,2.58498,0.43269,0.26562,0.22876,0.09294,4.46867,5.96542,4.62215,0.0014126,0.0014126,0.0014126
91,5655.76,2.15859,2.26251,2.60035,0.50639,0.25,0.24267,0.09012,4.34001,6.19298,4.51658,0.001406,0.001406,0.001406
92,5717.22,2.27018,2.51776,2.62057,0.48689,0.22917,0.22859,0.08433,4.36079,6.2243,4.51061,0.0013994,0.0013994,0.0013994
93,5778.69,2.18413,2.4063,2.56276,0.48393,0.22917,0.23464,0.08515,4.44692,6.18381,4.57451,0.0013928,0.0013928,0.0013928
94,5839.76,2.19384,2.36493,2.54279,0.43536,0.28513,0.23669,0.08915,4.59377,5.90478,4.66772,0.0013862,0.0013862,0.0013862
95,5900.8,2.15131,2.28519,2.56807,0.41607,0.27083,0.22646,0.083,4.55046,6.21701,4.67871,0.0013796,0.0013796,0.0013796
96,5962.59,2.14932,2.2524,2.54712,0.55705,0.19271,0.20721,0.07851,4.46564,6.32474,4.61708,0.001373,0.001373,0.001373
97,6023.8,2.30674,2.38951,2.63644,0.43184,0.23438,0.20697,0.07995,4.40649,6.1958,4.64865,0.0013664,0.0013664,0.0013664
98,6084.9,2.16934,2.31802,2.56281,0.57692,0.21875,0.20583,0.08903,4.45444,6.26952,4.74063,0.0013598,0.0013598,0.0013598
99,6146.5,2.25774,2.38336,2.60361,0.44199,0.23958,0.19049,0.08315,4.37759,6.22704,4.70265,0.0013532,0.0013532,0.0013532
100,6208.3,2.22919,2.34998,2.58019,0.47176,0.19792,0.17907,0.07668,4.30453,6.33564,4.62459,0.0013466,0.0013466,0.0013466
101,6269.84,2.21767,2.23942,2.5794,0.35639,0.21875,0.16548,0.07101,4.19791,6.77319,4.49637,0.00134,0.00134,0.00134
102,6332.16,2.18834,2.19827,2.55687,0.41787,0.22917,0.18263,0.07705,4.23795,6.89654,4.52485,0.0013334,0.0013334,0.0013334
103,6393.42,2.13465,2.21737,2.56834,0.48877,0.20833,0.19693,0.07894,4.39314,6.45349,4.63013,0.0013268,0.0013268,0.0013268
104,6455.12,2.17018,2.25655,2.5898,0.42724,0.22917,0.19742,0.07956,4.45783,6.29155,4.64656,0.0013202,0.0013202,0.0013202
105,6517.76,2.16231,2.29364,2.54999,0.41572,0.24479,0.19261,0.0793,4.44732,6.1833,4.51457,0.0013136,0.0013136,0.0013136
106,6582.49,2.20243,2.29091,2.54689,0.45733,0.23438,0.2093,0.0858,4.42878,6.00954,4.51924,0.001307,0.001307,0.001307
107,6644.4,2.14064,2.11166,2.51178,0.56367,0.20858,0.20367,0.07755,4.54346,5.94553,4.56984,0.0013004,0.0013004,0.0013004
108,6705.96,1.9881,2.11964,2.44426,0.49927,0.19792,0.19807,0.07368,4.67703,6.18381,4.74213,0.0012938,0.0012938,0.0012938
109,6768.47,2.16604,2.27738,2.5453,0.32329,0.24385,0.16751,0.06247,4.63773,6.30997,4.68163,0.0012872,0.0012872,0.0012872
110,6830.14,2.19564,2.16984,2.54128,0.36359,0.23958,0.17896,0.06868,4.50257,6.21576,4.55905,0.0012806,0.0012806,0.0012806
111,6892.21,2.14629,2.20595,2.54576,0.42948,0.25521,0.21388,0.08894,4.39905,6.14659,4.44687,0.001274,0.001274,0.001274
112,6954.21,2.06333,2.11005,2.44883,0.43994,0.26042,0.21907,0.08289,4.5149,6.09932,4.50646,0.0012674,0.0012674,0.0012674
113,7015.7,2.05054,1.98174,2.48412,0.56986,0.24479,0.21597,0.08583,4.56952,6.16482,4.62767,0.0012608,0.0012608,0.0012608
114,7077.57,1.881,1.92417,2.3529,0.53989,0.25521,0.21474,0.08446,4.53885,6.60503,4.74209,0.0012542,0.0012542,0.0012542
115,7139.19,1.81987,1.95455,2.39816,0.52032,0.21875,0.18678,0.07518,4.5477,6.89152,4.84761,0.0012476,0.0012476,0.0012476
116,7201.17,2.00925,2.10731,2.47368,0.43931,0.26042,0.21046,0.08572,4.52148,6.60881,4.81754,0.001241,0.001241,0.001241
117,7263.35,2.00698,2.1489,2.49063,0.54177,0.21875,0.21422,0.08803,4.47908,6.4106,4.66194,0.0012344,0.0012344,0.0012344
118,7325.15,2.06936,2.06181,2.50763,0.43579,0.25,0.21052,0.0855,4.60451,6.13547,4.82364,0.0012278,0.0012278,0.0012278
119,7387.38,2.16946,2.19973,2.56469,0.39401,0.24722,0.20235,0.08282,4.3983,6.17012,4.72891,0.0012212,0.0012212,0.0012212
120,7448.67,2.03629,2.03748,2.45913,0.57631,0.21354,0.20155,0.0848,4.44496,5.99271,4.70994,0.0012146,0.0012146,0.0012146
121,7510.38,2.01698,2.04193,2.43123,0.46698,0.25,0.20871,0.09014,4.40664,5.9637,4.70226,0.001208,0.001208,0.001208
122,7571.86,2.12495,2.17235,2.52859,0.53134,0.23958,0.21176,0.09458,4.38308,6.116,4.63307,0.0012014,0.0012014,0.0012014
123,7633.22,1.94926,1.98645,2.43399,0.38429,0.26562,0.21387,0.09214,4.38448,6.22509,4.55023,0.0011948,0.0011948,0.0011948
124,7694.81,2.01083,2.03188,2.48159,0.43282,0.28125,0.23628,0.10017,4.46139,6.37867,4.52338,0.0011882,0.0011882,0.0011882
125,7756.02,2.00444,2.02098,2.4624,0.46187,0.27083,0.24387,0.10553,4.41455,6.33144,4.48593,0.0011816,0.0011816,0.0011816
126,7817.21,1.98196,2.05125,2.46602,0.48293,0.25,0.23844,0.10697,4.42612,6.18915,4.47684,0.001175,0.001175,0.001175
127,7879.31,1.94478,1.86773,2.36098,0.48821,0.26042,0.26027,0.11645,4.36723,5.88311,4.52951,0.0011684,0.0011684,0.0011684
128,7940.74,1.98061,2.06229,2.4245,0.46966,0.29688,0.26163,0.11227,4.48327,5.66076,4.53816,0.0011618,0.0011618,0.0011618
129,8002.28,1.83175,1.82069,2.3666,0.52546,0.30208,0.25966,0.10832,4.49281,5.58608,4.52701,0.0011552,0.0011552,0.0011552
130,8063.87,1.9676,1.91217,2.41706,0.38747,0.3125,0.23559,0.10257,4.35201,5.68281,4.48718,0.0011486,0.0011486,0.0011486
131,8125.27,1.89597,1.9826,2.4616,0.47815,0.29111,0.23455,0.09958,4.40167,5.94364,4.58571,0.001142,0.001142,0.001142
132,8186.29,1.88575,1.91255,2.38629,0.46928,0.24479,0.21668,0.09641,4.30093,6.19347,4.6109,0.0011354,0.0011354,0.0011354
133,8247.95,1.85626,1.8428,2.42119,0.43175,0.26514,0.22155,0.09783,4.3621,6.1076,4.63183,0.0011288,0.0011288,0.0011288
134,8309.83,1.88567,1.87744,2.36789,0.49126,0.25,0.20794,0.09776,4.36269,5.93969,4.64665,0.0011222,0.0011222,0.0011222
135,8371.9,1.91828,1.82129,2.40916,0.39411,0.22917,0.1985,0.09241,4.39523,5.93545,4.68275,0.0011156,0.0011156,0.0011156
